,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code,data_source
0,2021-09-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,49.0,,,,49.0,,,,,,,,,,,,,,05-001-07727
1,2021-08-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,49.0,,,,49.0,,,,,,,,,,,,,,05-001-07727
2,2021-07-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,49.0,,,,49.0,,,,,,,,,,,,,,05-001-07727
3,2021-06-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,49.0,,,,49.0,,,,,,,,,,,,,,05-001-07727
4,2021-05-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,49.0,,,,49.0,,,,,,,,,,,,,,05-001-07727
5,2021-04-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,49.0,,,,49.0,,,,,,,,,,,,,,05-001-07727
6,2021-03-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,49.0,,,,49.0,,,,,,,,,,,,,,05-001-07727
7,2021-02-01,3,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,48.0,1.0,,,49.0,,28.0,,,,28.0,1371.0,,,,,,,05-001-07727
8,2021-01-01,31,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,46.0,2.0,,,48.0,,267.0,,,,267.0,1371.0,,,,,,,05-001-07727
9,2020-12-01,17,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,45.0,1.0,,,46.0,,222.0,,,,222.0,1371.0,,,,,,,05-001-07727
10,2020-11-01,20,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,45.0,1.0,,,46.0,,267.0,,,,267.0,1368.0,,,,,,,05-001-07727
11,2020-10-01,9,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,45.0,,,,45.0,,180.0,,,,180.0,1368.0,,,,,,,05-001-07727
12,2020-09-01,3,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,45.0,,,,45.0,,42.0,,,,42.0,1368.0,,,,,,,05-001-07727
13,2020-08-01,18,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,45.0,,,,45.0,,231.0,,,,231.0,1367.0,,,,,,,05-001-07727
14,2020-07-01,19,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,45.0,,,,45.0,,242.0,,,,242.0,1367.0,,,,,,,05-001-07727
15,2020-06-01,30,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,44.0,1.0,,,45.0,,211.0,,,,211.0,1368.0,,,,,,,05-001-07727
16,2020-05-01,31,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,44.0,,,,44.0,,248.0,,,,248.0,1372.0,,,,,,,05-001-07727
17,2020-04-01,16,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,44.0,,,,44.0,,16.0,,,,16.0,1372.0,,,,,,,05-001-07727
18,2020-03-01,31,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,44.0,,,,44.0,,249.0,,,,249.0,1372.0,,,,,,,05-001-07727
19,2020-02-01,15,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,44.0,,,,44.0,,20.0,,,,20.0,1372.0,,,,,,,05-001-07727
20,2020-01-01,31,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,110.0,,,-66.0,44.0,,450.0,,,,450.0,1372.0,,,66.0,,,C,05-001-07727
21,2019-12-01,30,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,110.0,,,,110.0,,258.0,,,,258.0,1372.0,,,,,,,05-001-07727
22,2019-11-01,19,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,100.0,10.0,,,110.0,,208.0,,,,208.0,1372.0,,,,,,,05-001-07727
23,2019-10-01,25,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,92.0,8.0,,,100.0,,49.0,,,,49.0,1371.0,,,,,,,05-001-07727
24,2019-09-01,17,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,100.0,42.0,50.0,,92.0,35.7,148.0,,,,148.0,1368.0,,,,,,,05-001-07727
25,2019-08-01,23,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,47.0,53.0,,,100.0,,59.0,,,,59.0,1366.0,,,,,,,05-001-07727
26,2019-07-01,24,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,125.0,3.0,76.0,-5.0,47.0,49.2,161.0,,,,161.0,1366.0,,,,,,,05-001-07727
27,2019-06-01,20,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,125.0,,,,125.0,,197.0,,,,197.0,1368.0,,,,,,,05-001-07727
28,2019-05-01,25,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,125.0,,,,125.0,,156.0,,,,156.0,1370.0,,,,,,,05-001-07727
29,2019-04-01,26,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,123.0,2.0,,,125.0,,95.0,,,,95.0,1370.0,,,,,,,05-001-07727
30,2019-03-01,31,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,121.0,2.0,,,123.0,,208.0,,,,208.0,1371.0,,,,,,,05-001-07727
31,2019-02-01,19,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,114.0,7.0,,,121.0,,234.0,,,,234.0,1371.0,,,,,,,05-001-07727
32,2019-01-01,22,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,102.0,12.0,,,114.0,,178.0,,,,178.0,1371.0,,,,,,,05-001-07727
33,2018-12-01,27,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,89.0,13.0,,,102.0,,234.0,,,,234.0,1371.0,,,,,,,05-001-07727
34,2018-11-01,20,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,89.0,2.0,,,91.0,,65.0,,,,65.0,1371.0,,,,,,,05-001-07727
35,2018-10-01,14,PR,PAINTED PEGASUS PETROLEUM LLC,1,7727,0,J SAND,87.0,2.0,,,89.0,,140.0,,,,140.0,1373.0,,,,,,,05-001-07727
36,2018-09-01,27,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,85.0,2.0,,,87.0,,114.0,,,,114.0,1373.0,,,,,,,05-001-07727
37,2018-08-01,31,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,91.0,,,-6.0,85.0,,136.0,,,,136.0,1373.0,,,,,,,05-001-07727
38,2018-07-01,31,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,83.0,8.0,,,91.0,,138.0,,,,138.0,1373.0,,,,,,,05-001-07727
39,2018-06-01,30,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,104.0,,,-21.0,83.0,,131.0,,,,131.0,1373.0,,,40.0,,,C,05-001-07727
40,2018-05-01,31,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,123.0,,,-19.0,104.0,,142.0,,,,142.0,1373.0,,,5.0,,,C,05-001-07727
41,2018-04-01,30,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,106.0,17.0,,,123.0,,129.0,,,,129.0,1373.0,,,,,,,05-001-07727
42,2018-03-01,31,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,97.0,9.0,,,106.0,,143.0,,,,143.0,1379.0,,,,,,,05-001-07727
43,2018-02-01,28,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,97.0,,,,97.0,,45.0,,,,45.0,1373.0,,,,,,,05-001-07727
44,2018-01-01,26,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,92.0,5.0,,,97.0,,94.0,,,,94.0,1373.0,,,,,,,05-001-07727
45,2017-12-01,27,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,88.0,4.0,,,92.0,,77.0,,,,77.0,1373.0,,,,,,,05-001-07727
46,2017-11-01,29,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,64.0,24.0,,,88.0,,94.0,,,,94.0,1373.0,,,,,,,05-001-07727
47,2017-10-01,26,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,68.0,,,-4.0,64.0,,103.0,,,,103.0,1330.0,,,,,,,05-001-07727
48,2017-09-01,27,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,60.0,8.0,,,68.0,,100.0,,,,100.0,1330.0,,,,,,,05-001-07727
49,2017-08-01,29,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,72.0,,,-12.0,60.0,,110.0,,,,110.0,1330.0,,,95.0,,,P,05-001-07727
50,2017-07-01,31,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,57.0,15.0,,,72.0,,111.0,,,,111.0,1330.0,,,,,,,05-001-07727
51,2017-06-01,29,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,51.0,6.0,,,57.0,,94.0,,,,94.0,1330.0,,,,,,P,05-001-07727
52,2017-05-01,27,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,39.0,12.0,,,51.0,,113.0,,,,113.0,1330.0,,,,,,,05-001-07727
53,2017-04-01,30,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,29.0,10.0,,,39.0,,114.0,,,,114.0,1330.0,,,,,,,05-001-07727
54,2017-03-01,31,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,29.0,,,,29.0,,90.0,,,,90.0,1330.0,,,,,,,05-001-07727
55,2017-02-01,28,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,19.0,10.0,,,29.0,,88.0,,,,88.0,1330.0,,,,,,P,05-001-07727
56,2017-01-01,21,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,13.0,6.0,,,19.0,,75.0,,,,75.0,1330.0,,,,,,,05-001-07727
57,2016-12-01,31,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,10.0,3.0,,,13.0,,165.0,,31.0,,134.0,1330.0,,,,,,P,05-001-07727
58,2016-11-01,30,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,10.0,,,,10.0,,142.0,,36.0,,106.0,1330.0,,,,,,,05-001-07727
59,2016-10-01,25,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,10.0,,,,10.0,,133.0,,36.0,,97.0,1331.0,,,,,,P,05-001-07727
60,2016-09-01,30,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,10.0,,,,10.0,,180.0,,46.0,,134.0,1331.0,,,,,,,05-001-07727
61,2016-08-01,31,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,10.0,,,,10.0,,140.0,,,,140.0,1331.0,,,,,,,05-001-07727
62,2016-07-01,26,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,10.0,,,,10.0,,167.0,,43.0,,124.0,1331.0,,,,,,,05-001-07727
63,2016-06-01,0,SI,HRM RESOURCES II LLC,1,7727,0,J SAND,10.0,,,,10.0,,,,,,,,,,,,,,05-001-07727
64,2016-05-01,31,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,14.0,,,-4.0,10.0,,107.0,,27.0,,80.0,1331.0,,,5.0,,,P,05-001-07727
65,2016-04-01,27,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,11.0,3.0,,,14.0,,222.0,,46.0,,176.0,1331.0,,,,,,,05-001-07727
66,2016-03-01,20,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,11.0,,,,11.0,,178.0,,29.0,,149.0,199.0,,,,,,,05-001-07727
67,2016-02-01,0,SI,HRM RESOURCES II LLC,1,7727,0,J SAND,11.0,,,,11.0,,,,,,,,,,,,,P,05-001-07727
68,2016-01-01,10,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,5.0,6.0,,,11.0,,79.0,,,,79.0,1379.0,,,11.0,,,P,05-001-07727
69,2015-12-01,16,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,4.0,1.0,,,5.0,,91.0,,,,91.0,1331.0,,,1.0,,,P,05-001-07727
70,2015-11-01,20,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,56.0,5.0,57.0,,4.0,43.7,60.0,,,,60.0,1331.0,,,4.0,,,P,05-001-07727
71,2015-10-01,15,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,53.0,3.0,,,56.0,,56.0,,,,56.0,1331.0,,,3.0,,,P,05-001-07727
72,2015-09-01,12,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,50.0,4.0,,-1.0,53.0,,47.0,,,,47.0,1331.0,,,5.0,,,P,05-001-07727
73,2015-08-01,13,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,107.0,3.0,,-60.0,50.0,,49.0,,,,49.0,1331.0,,,60.0,,,P,05-001-07727
74,2015-07-01,31,PR,HRM RESOURCES II LLC,1,7727,0,J SAND,101.0,6.0,,,107.0,,18.0,,,,18.0,1355.0,,,2.0,,,P,05-001-07727
75,2015-06-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,93.0,8.0,,,101.0,,31.0,,,,31.0,1367.0,,,8.0,,,P,05-001-07727
76,2015-05-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,90.0,3.0,,,93.0,,42.0,,,,42.0,1368.0,,,6.0,,,P,05-001-07727
77,2015-04-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,84.0,6.0,,,90.0,,43.0,,,,43.0,1368.0,,,12.0,,,P,05-001-07727
78,2015-03-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,82.0,2.0,,,84.0,,49.0,,,,49.0,1366.0,,,24.0,,,P,05-001-07727
79,2015-02-01,27,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,79.0,3.0,,,82.0,,34.0,,,,34.0,1367.0,,,3.0,,,P,05-001-07727
80,2015-01-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,76.0,3.0,,,79.0,,50.0,,,,50.0,1372.0,,,7.0,,,P,05-001-07727
81,2014-12-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,72.0,4.0,,,76.0,,34.0,,,,34.0,1362.0,,,3.0,,,P,05-001-07727
82,2014-11-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,68.0,4.0,,,72.0,,29.0,,,,29.0,1379.0,,,,,,,05-001-07727
83,2014-10-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,66.0,2.0,,,68.0,,14.0,,,,14.0,1343.0,,,9.0,,,P,05-001-07727
84,2014-09-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,62.0,4.0,,,66.0,,39.0,,,,39.0,1365.0,,,2.0,,,P,05-001-07727
85,2014-08-01,18,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,77.0,5.0,9.0,-11.0,62.0,49.1,29.0,,,,29.0,1367.0,,,30.0,,,P,05-001-07727
86,2014-07-01,18,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,67.0,10.0,,,77.0,,18.0,,,,18.0,1360.0,,,20.0,,,P,05-001-07727
87,2014-06-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,119.0,9.0,61.0,,67.0,45.1,53.0,,,,53.0,1370.0,,,9.0,,,P,05-001-07727
88,2014-05-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,121.0,12.0,,-14.0,119.0,,59.0,,,,59.0,1365.0,,,17.0,,,P,05-001-07727
89,2014-04-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,92.0,29.0,,,121.0,,136.0,,,,136.0,1371.0,,,20.0,,,P,05-001-07727
90,2014-03-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,78.0,14.0,,,92.0,,47.0,,,,47.0,1365.0,,,9.0,,,P,05-001-07727
91,2014-02-01,28,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,78.0,,,,78.0,,1.0,,,,1.0,1331.0,,,,,,,05-001-07727
92,2014-01-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,110.0,24.0,56.0,,78.0,46.4,94.0,,,,94.0,1365.0,,,11.0,,,P,05-001-07727
93,2013-12-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,96.0,14.0,,,110.0,,79.0,,,,79.0,1368.0,,,15.0,,,P,05-001-07727
94,2013-11-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,135.0,8.0,47.0,,96.0,43.3,35.0,,,,35.0,1372.0,,,5.0,,,P,05-001-07727
95,2013-10-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,92.0,43.0,,,135.0,,49.0,,,,49.0,1356.0,,,3.0,,,P,05-001-07727
96,2013-09-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,86.0,6.0,,,92.0,,9.0,,,,9.0,1357.0,,,,,,,05-001-07727
97,2013-08-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,75.0,11.0,,,86.0,,18.0,,,,18.0,1358.0,,,64.0,,,P,05-001-07727
98,2013-07-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,116.0,9.0,50.0,,75.0,43.7,208.0,,,,208.0,1356.0,,,15.0,,,P,05-001-07727
99,2013-06-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,108.0,8.0,,,116.0,,117.0,,,,117.0,1352.0,,,22.0,,,P,05-001-07727
100,2013-05-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,90.0,18.0,,,108.0,,99.0,,,,99.0,1344.0,,,24.0,,,P,05-001-07727
101,2013-04-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,73.0,17.0,,,90.0,,158.0,,,,158.0,1349.0,,,24.0,,,P,05-001-07727
102,2013-03-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,98.0,26.0,51.0,,73.0,43.0,148.0,,,,148.0,1358.0,,,10.0,,,P,05-001-07727
103,2013-02-01,28,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,89.0,9.0,,,98.0,,60.0,,,,60.0,1354.0,,,53.0,,,P,05-001-07727
104,2013-01-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,66.0,23.0,,,89.0,,147.0,,,,147.0,1345.0,,,,,,,05-001-07727
105,2012-12-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,125.0,31.0,119.0,,37.0,43.4,217.0,,,,217.0,1324.0,,,7.0,,,P,05-001-07727
106,2012-11-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,58.0,67.0,,,125.0,,237.0,,,,237.0,1327.0,,,27.0,,,P,05-001-07727
107,2012-10-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,146.0,29.0,117.0,,58.0,44.4,34.0,,,,34.0,1351.0,,,6.0,,,P,05-001-07727
108,2012-09-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,17.0,,,146.0,,343.0,,,,343.0,1344.0,,,57.0,,,P,05-001-07727
109,2012-08-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
110,2012-07-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
111,2012-06-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
112,2012-05-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
113,2012-04-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
114,2012-03-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
115,2012-02-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
116,2012-01-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
117,2011-12-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
118,2011-11-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
119,2011-10-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
120,2011-09-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
121,2011-08-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
122,2011-07-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
123,2011-06-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
124,2011-05-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
125,2011-04-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
126,2011-03-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
127,2011-02-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
128,2011-01-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
129,2010-12-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
130,2010-11-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
131,2010-10-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
132,2010-09-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
133,2010-08-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
134,2010-07-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
135,2010-06-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
136,2010-05-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
137,2010-04-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
138,2010-03-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
139,2010-02-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
140,2010-01-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
141,2009-12-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
142,2009-11-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
143,2009-10-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
144,2009-09-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
145,2009-08-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
146,2009-07-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
147,2009-06-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
148,2009-05-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
149,2009-04-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
150,2009-03-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
151,2009-02-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
152,2009-01-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
153,2008-12-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
154,2008-11-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
155,2008-10-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
156,2008-09-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
